date,municipality,meteoalerta_zone,comarca,level,source_url
2023-07-06,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-07-06
2023-07-07,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-07-07
2023-07-08,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-07-08
2023-07-09,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,yellow,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-07-09
2023-07-10,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,yellow,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-07-10
2023-07-11,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,orange,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-07-11
2023-07-12,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,yellow,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-07-12
2023-07-13,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,yellow,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-07-13
2023-07-14,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,orange,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-07-14
2023-07-15,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,yellow,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-07-15
2023-07-16,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,yellow,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-07-16
